datetime,open,high,low,close,volume
2024-05-01 02:00:00,578.9,580.2,536.8,561.3,60211.892
2024-05-02 02:00:00,561.3,566.2,539.8,560.8,37991.791
2024-05-03 02:00:00,560.6,590.9,559.4,587.6,40387.15
2024-05-04 02:00:00,587.4,594.3,583.2,585.9,34514.625
2024-05-05 02:00:00,586.5,595.5,579.5,592.5,20006.399
2024-05-06 02:00:00,592.6,602.4,583.5,588.4,29811.494
2024-05-07 02:00:00,588.3,600.4,575.8,576.9,31297.747
2024-05-08 02:00:00,577.1,590.1,575.2,588.5,35224.527
2024-05-09 02:00:00,588.3,607.2,586.5,596.9,66012.134
2024-05-10 02:00:00,597.1,597.4,581.7,585.6,43313.245
2024-05-11 02:00:00,585.7,595.3,581.2,592.2,25519.771
2024-05-12 02:00:00,592.2,599.8,587.7,594.8,27979.99
2024-05-13 02:00:00,595.2,598.9,585.5,591.8,33382.932
2024-05-14 02:00:00,591.8,593.1,562.2,567.1,41010.961
2024-05-15 02:00:00,567.2,588.3,560.8,581.5,61873.576
2024-05-16 02:00:00,582.0,587.0,565.0,569.4,63139.499
2024-05-17 02:00:00,569.7,586.3,568.9,581.5,34322.786
2024-05-18 02:00:00,580.5,584.6,574.2,580.5,16692.265
2024-05-19 02:00:00,580.9,582.0,571.6,574.6,13874.944
2024-05-20 02:00:00,574.5,602.0,568.8,599.6,44815.823
2024-05-21 02:00:00,600.0,631.2,593.4,618.5,86484.447
2024-05-22 02:00:00,618.8,626.7,609.6,614.4,37727.627
2024-05-23 02:00:00,614.7,616.9,580.6,599.2,41481.389
2024-05-24 02:00:00,598.8,605.2,588.7,600.3,25415.017
2024-05-25 02:00:00,600.4,624.5,591.3,602.4,27477.789
2024-05-26 02:00:00,602.3,605.1,596.8,600.2,9676.897
2024-05-27 02:00:00,600.1,613.9,599.6,603.6,18650.582
2024-05-28 02:00:00,603.4,605.6,593.6,601.4,34052.962
2024-05-29 02:00:00,601.5,603.7,592.8,595.2,38857.322
2024-05-30 02:00:00,595.2,602.1,586.1,595.1,15275.241
2024-05-31 02:00:00,595.1,599.4,589.3,593.5,22856.506
